[DEBUG] 2020-05-11 03:59:46.983 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-11 03:59:46.990 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-11 03:59:46.995 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-11 03:59:47.118 [http-nio-8080-exec-5] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-11 03:59:47.124 [http-nio-8080-exec-5] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-11 03:59:47.378 [http-nio-8080-exec-5] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-11 03:59:47.379 [http-nio-8080-exec-5] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-11 03:59:47.431 [http-nio-8080-exec-5] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-11 03:59:47.969 [http-nio-8080-exec-5] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-11 03:59:48.003 [http-nio-8080-exec-5] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-11 03:59:48.005 [http-nio-8080-exec-5] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-11 03:59:48.041 [http-nio-8080-exec-5] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-11 03:59:48.099 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@116b009a
[DEBUG] 2020-05-11 03:59:48.099 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@116b009a
[DEBUG] 2020-05-11 03:59:48.099 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@116b009a
[DEBUG] 2020-05-11 03:59:48.099 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@59cc8685
[DEBUG] 2020-05-11 03:59:48.100 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@10413999
[DEBUG] 2020-05-11 03:59:48.101 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@62bfba78
[DEBUG] 2020-05-11 03:59:48.103 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7f4cf94b
[DEBUG] 2020-05-11 03:59:48.103 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7f4cf94b
[DEBUG] 2020-05-11 03:59:48.103 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7f4cf94b
[DEBUG] 2020-05-11 03:59:48.104 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7db527ed
[DEBUG] 2020-05-11 03:59:48.104 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7db527ed
[DEBUG] 2020-05-11 03:59:48.105 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7db527ed
[DEBUG] 2020-05-11 03:59:48.108 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2e02d7f6
[DEBUG] 2020-05-11 03:59:48.109 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2e02d7f6
[DEBUG] 2020-05-11 03:59:48.109 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2e02d7f6
[DEBUG] 2020-05-11 03:59:48.110 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6bf7bb3e
[DEBUG] 2020-05-11 03:59:48.110 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6bf7bb3e
[DEBUG] 2020-05-11 03:59:48.110 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6bf7bb3e
[DEBUG] 2020-05-11 03:59:48.112 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@f6708d9
[DEBUG] 2020-05-11 03:59:48.112 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@f6708d9
[DEBUG] 2020-05-11 03:59:48.112 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@f6708d9
[DEBUG] 2020-05-11 03:59:48.113 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@384b7bd9
[DEBUG] 2020-05-11 03:59:48.114 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@384b7bd9
[DEBUG] 2020-05-11 03:59:48.114 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@384b7bd9
[DEBUG] 2020-05-11 03:59:48.115 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@106c1f2b
[DEBUG] 2020-05-11 03:59:48.115 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@106c1f2b
[DEBUG] 2020-05-11 03:59:48.115 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@106c1f2b
[DEBUG] 2020-05-11 03:59:48.116 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@30ac462b
[DEBUG] 2020-05-11 03:59:48.117 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@30ac462b
[DEBUG] 2020-05-11 03:59:48.118 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@67e8baf2
[DEBUG] 2020-05-11 03:59:48.118 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@67e8baf2
[DEBUG] 2020-05-11 03:59:48.119 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@720371ba
[DEBUG] 2020-05-11 03:59:48.120 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@720371ba
[DEBUG] 2020-05-11 03:59:48.120 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6a6a7b04
[DEBUG] 2020-05-11 03:59:48.121 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6b236f5d
[DEBUG] 2020-05-11 03:59:48.123 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4906c974
[DEBUG] 2020-05-11 03:59:48.123 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4906c974
[DEBUG] 2020-05-11 03:59:48.124 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@547ee3fe
[DEBUG] 2020-05-11 03:59:48.124 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@547ee3fe
[DEBUG] 2020-05-11 03:59:48.128 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@391a7bb0
[DEBUG] 2020-05-11 03:59:48.128 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@391a7bb0
[DEBUG] 2020-05-11 03:59:48.130 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@16efd404
[DEBUG] 2020-05-11 03:59:48.130 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@16efd404
[DEBUG] 2020-05-11 03:59:48.131 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7acec256
[DEBUG] 2020-05-11 03:59:48.131 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7acec256
[DEBUG] 2020-05-11 03:59:48.133 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5b22ca55
[DEBUG] 2020-05-11 03:59:48.133 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5b22ca55
[DEBUG] 2020-05-11 03:59:48.137 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@653d8006
[DEBUG] 2020-05-11 03:59:48.137 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@653d8006
[DEBUG] 2020-05-11 03:59:48.139 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@47dcd6e7
[DEBUG] 2020-05-11 03:59:48.139 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@47dcd6e7
[DEBUG] 2020-05-11 03:59:48.141 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bf3ddad
[DEBUG] 2020-05-11 03:59:48.141 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bf3ddad
[DEBUG] 2020-05-11 03:59:48.143 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@8f7e319
[DEBUG] 2020-05-11 03:59:48.143 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@8f7e319
[DEBUG] 2020-05-11 03:59:48.144 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@33374d2a
[DEBUG] 2020-05-11 03:59:48.144 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@33374d2a
[DEBUG] 2020-05-11 03:59:48.145 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@4117d0e9
[DEBUG] 2020-05-11 03:59:48.146 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@4117d0e9
[DEBUG] 2020-05-11 03:59:48.146 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@4117d0e9
[DEBUG] 2020-05-11 03:59:48.147 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@727a0e77
[DEBUG] 2020-05-11 03:59:48.149 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@b54a93
[DEBUG] 2020-05-11 03:59:48.149 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@b54a93
[DEBUG] 2020-05-11 03:59:48.149 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@b54a93
[DEBUG] 2020-05-11 03:59:48.150 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5a18464a
[DEBUG] 2020-05-11 03:59:48.151 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1a0d42e
[DEBUG] 2020-05-11 03:59:48.151 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1a0d42e
[DEBUG] 2020-05-11 03:59:48.153 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@4f948f6a
[DEBUG] 2020-05-11 03:59:48.153 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@4f948f6a
[DEBUG] 2020-05-11 03:59:48.154 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2b0b246b
[DEBUG] 2020-05-11 03:59:48.154 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2b0b246b
[DEBUG] 2020-05-11 03:59:48.155 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@4697821
[DEBUG] 2020-05-11 03:59:48.156 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4697821
[DEBUG] 2020-05-11 03:59:48.157 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2869eb93
[DEBUG] 2020-05-11 03:59:48.157 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2869eb93
[DEBUG] 2020-05-11 03:59:48.158 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@13a822fe
[DEBUG] 2020-05-11 03:59:48.159 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@77b8a37c
[DEBUG] 2020-05-11 03:59:48.159 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@77b8a37c
[DEBUG] 2020-05-11 03:59:48.160 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@77b8a37c
[DEBUG] 2020-05-11 03:59:48.161 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@d57c9d
[DEBUG] 2020-05-11 03:59:48.161 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@d57c9d
[DEBUG] 2020-05-11 03:59:48.161 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@d57c9d
