[DEBUG] 2020-05-05 18:46:22.589 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3659d7b1
[DEBUG] 2020-05-05 18:46:22.589 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1c758545
[DEBUG] 2020-05-05 18:46:22.590 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2324bfe7
[DEBUG] 2020-05-05 18:46:22.590 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2324bfe7
[DEBUG] 2020-05-05 18:46:22.591 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3b2f4a93
[DEBUG] 2020-05-05 18:46:22.592 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3b2f4a93
[DEBUG] 2020-05-05 18:46:22.597 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@263bbfeb
[DEBUG] 2020-05-05 18:46:22.597 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@263bbfeb
[DEBUG] 2020-05-05 18:46:22.599 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@73545b80
[DEBUG] 2020-05-05 18:46:22.600 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@73545b80
[DEBUG] 2020-05-05 18:46:22.601 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2e3f79a2
[DEBUG] 2020-05-05 18:46:22.602 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2e3f79a2
[DEBUG] 2020-05-05 18:46:22.603 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@68b58644
[DEBUG] 2020-05-05 18:46:22.603 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@68b58644
[DEBUG] 2020-05-05 18:46:22.604 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58516c91
[DEBUG] 2020-05-05 18:46:22.605 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58516c91
[DEBUG] 2020-05-05 18:46:22.606 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@25e49cb2
[DEBUG] 2020-05-05 18:46:22.606 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@25e49cb2
[DEBUG] 2020-05-05 18:46:22.608 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@633a2e99
[DEBUG] 2020-05-05 18:46:22.608 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@633a2e99
[DEBUG] 2020-05-05 18:46:22.609 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3d7b1f1c
[DEBUG] 2020-05-05 18:46:22.609 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3d7b1f1c
[DEBUG] 2020-05-05 18:46:22.610 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@28e19366
[DEBUG] 2020-05-05 18:46:22.611 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@28e19366
[DEBUG] 2020-05-05 18:46:22.612 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@59c33386
[DEBUG] 2020-05-05 18:46:22.612 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@59c33386
[DEBUG] 2020-05-05 18:46:22.612 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@59c33386
[DEBUG] 2020-05-05 18:46:22.613 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6ffa56fa
[DEBUG] 2020-05-05 18:46:22.614 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@3fc05ea2
[DEBUG] 2020-05-05 18:46:22.614 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3fc05ea2
[DEBUG] 2020-05-05 18:46:22.614 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3fc05ea2
[DEBUG] 2020-05-05 18:46:22.615 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@351f2244
[DEBUG] 2020-05-05 18:46:22.616 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2009f9b0
[DEBUG] 2020-05-05 18:46:22.616 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2009f9b0
[DEBUG] 2020-05-05 18:46:22.617 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@61d34b4
[DEBUG] 2020-05-05 18:46:22.618 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@61d34b4
[DEBUG] 2020-05-05 18:46:22.619 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@e322ec9
[DEBUG] 2020-05-05 18:46:22.619 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@e322ec9
[DEBUG] 2020-05-05 18:46:22.620 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@719bb3b4
[DEBUG] 2020-05-05 18:46:22.620 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@719bb3b4
[DEBUG] 2020-05-05 18:46:22.621 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@3c782d8e
[DEBUG] 2020-05-05 18:46:22.622 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@3c782d8e
[DEBUG] 2020-05-05 18:46:22.622 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@255e5e2e
[DEBUG] 2020-05-05 18:46:22.623 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@20011bf
[DEBUG] 2020-05-05 18:46:22.624 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@20011bf
[DEBUG] 2020-05-05 18:46:22.624 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@20011bf
[DEBUG] 2020-05-05 18:46:22.625 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3fbcfe81
[DEBUG] 2020-05-05 18:46:22.625 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3fbcfe81
[DEBUG] 2020-05-05 18:46:22.625 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3fbcfe81
[DEBUG] 2020-05-05 18:46:22.626 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@c6b2dd9
[DEBUG] 2020-05-05 18:46:22.627 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@3f985a86
[DEBUG] 2020-05-05 18:46:22.627 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6dfcffb5
[DEBUG] 2020-05-05 18:46:22.628 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6dfcffb5
[DEBUG] 2020-05-05 18:46:22.628 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6dfcffb5
[DEBUG] 2020-05-05 18:46:22.629 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4088741b
[DEBUG] 2020-05-05 18:46:22.629 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4088741b
[DEBUG] 2020-05-05 18:46:22.629 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4088741b
[DEBUG] 2020-05-05 18:46:22.629 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@205bed61
[DEBUG] 2020-05-05 18:46:22.630 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@7c2b58c0
[DEBUG] 2020-05-05 18:46:22.631 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@760cf594
[DEBUG] 2020-05-05 18:46:22.631 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@760cf594
[DEBUG] 2020-05-05 18:46:22.631 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@204e90f7
[DEBUG] 2020-05-05 18:46:22.633 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@7a34f66a
[DEBUG] 2020-05-05 18:46:22.633 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@7a34f66a
[DEBUG] 2020-05-05 18:46:22.634 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@5eed2d86
[DEBUG] 2020-05-05 18:46:22.634 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5eed2d86
[DEBUG] 2020-05-05 18:46:22.635 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7808f638
[DEBUG] 2020-05-05 18:46:22.635 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1d0a61c8
[DEBUG] 2020-05-05 18:46:22.636 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@5524b72f
[DEBUG] 2020-05-05 18:46:22.639 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@7be7e15
[DEBUG] 2020-05-05 18:46:22.639 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@7be7e15
[DEBUG] 2020-05-05 18:46:22.640 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@4248b963
[DEBUG] 2020-05-05 18:46:22.640 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7f08caf
[DEBUG] 2020-05-05 18:46:22.640 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@4defd42
[DEBUG] 2020-05-05 18:46:22.640 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@2330e3e0
[DEBUG] 2020-05-05 18:46:22.640 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@24b4d544
[DEBUG] 2020-05-05 18:46:22.641 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@27a2a089
[DEBUG] 2020-05-05 18:46:22.641 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@54657dd2
[DEBUG] 2020-05-05 18:46:22.641 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@706eab5d
[DEBUG] 2020-05-05 18:46:22.665 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-05-05 18:46:22.666 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-05-05 18:46:22.666 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-05-05 18:46:22.667 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-05-05 18:46:22.667 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-05-05 18:46:22.668 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-05-05 18:46:22.668 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-05-05 18:46:22.670 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-05-05 18:46:22.670 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-05-05 18:46:22.671 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-05-05 18:46:22.672 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-05-05 18:46:22.672 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-05-05 18:46:22.672 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-05-05 18:46:22.673 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2020-05-05 18:46:22.678 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_practiceHacker
[INFO ] 2020-05-05 18:46:22.678 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2020-05-05 18:46:22.678 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2020-05-05 18:46:22.868 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2020-05-05 18:46:23.057 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.19
      major : 8
      minor : 0
[DEBUG] 2020-05-05 18:46:23.058 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.19 (Revision: a0ca826f5cdf51a98356fdfb1bf251eb042f80bf)
      major : 8
      minor : 0
[DEBUG] 2020-05-05 18:46:23.058 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2020-05-05 18:46:23.127 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2020-05-05 18:46:23.145 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2020-05-05 18:46:23.168 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2020-05-05 18:46:23.204 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2020-05-05 18:46:23.207 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@54402c04] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@5b3bb1f7]
[DEBUG] 2020-05-05 18:46:23.259 [main] AnnotationBinder - Binding entity from annotated class: stalterclouse.elspeth.entity.User
[DEBUG] 2020-05-05 18:46:23.278 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2020-05-05 18:46:23.283 [main] EntityBinder - Import with entity name User
[DEBUG] 2020-05-05 18:46:23.285 [main] EntityBinder - Bind entity stalterclouse.elspeth.entity.User on table users
[DEBUG] 2020-05-05 18:46:23.314 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.316 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2020-05-05 18:46:23.318 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:id]
[DEBUG] 2020-05-05 18:46:23.320 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2020-05-05 18:46:23.322 [main] PropertyBinder - Building property id
[DEBUG] 2020-05-05 18:46:23.326 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2020-05-05 18:46:23.327 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=birth_date, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.328 [main] PropertyBinder - MetadataSourceProcessor property birthDate with lazy=false
[DEBUG] 2020-05-05 18:46:23.329 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:birthDate]
[DEBUG] 2020-05-05 18:46:23.329 [main] SimpleValueBinder - building SimpleValue for birthDate
[DEBUG] 2020-05-05 18:46:23.329 [main] PropertyBinder - Building property birthDate
[DEBUG] 2020-05-05 18:46:23.329 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=city, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.330 [main] PropertyBinder - MetadataSourceProcessor property city with lazy=false
[DEBUG] 2020-05-05 18:46:23.330 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:city]
[DEBUG] 2020-05-05 18:46:23.330 [main] SimpleValueBinder - building SimpleValue for city
[DEBUG] 2020-05-05 18:46:23.330 [main] PropertyBinder - Building property city
[DEBUG] 2020-05-05 18:46:23.331 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=email, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.331 [main] PropertyBinder - MetadataSourceProcessor property email with lazy=false
[DEBUG] 2020-05-05 18:46:23.331 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:email]
[DEBUG] 2020-05-05 18:46:23.332 [main] SimpleValueBinder - building SimpleValue for email
[DEBUG] 2020-05-05 18:46:23.332 [main] PropertyBinder - Building property email
[DEBUG] 2020-05-05 18:46:23.332 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=first_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.333 [main] PropertyBinder - MetadataSourceProcessor property firstName with lazy=false
[DEBUG] 2020-05-05 18:46:23.333 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:firstName]
[DEBUG] 2020-05-05 18:46:23.333 [main] SimpleValueBinder - building SimpleValue for firstName
[DEBUG] 2020-05-05 18:46:23.333 [main] PropertyBinder - Building property firstName
[DEBUG] 2020-05-05 18:46:23.341 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2020-05-05 18:46:23.342 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=instrument, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.348 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=last_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.348 [main] PropertyBinder - MetadataSourceProcessor property lastName with lazy=false
[DEBUG] 2020-05-05 18:46:23.348 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:lastName]
[DEBUG] 2020-05-05 18:46:23.349 [main] SimpleValueBinder - building SimpleValue for lastName
[DEBUG] 2020-05-05 18:46:23.349 [main] PropertyBinder - Building property lastName
[DEBUG] 2020-05-05 18:46:23.349 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=longest_streak, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-05-05 18:46:23.349 [main] PropertyBinder - MetadataSourceProcessor property longestStreak with lazy=false
[DEBUG] 2020-05-05 18:46:23.349 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [stalterclouse.elspeth.entity.User:longestStreak]
[DEBUG] 2020-05-05 18:46:23.349 [main] SimpleValueBinder - building SimpleValue for longestStreak
