[DEBUG] 2020-05-08 03:47:42.422 [http-nio-8080-exec-68] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-08 03:47:42.433 [http-nio-8080-exec-68] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-08 03:47:42.444 [http-nio-8080-exec-68] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-08 03:47:42.579 [http-nio-8080-exec-68] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-08 03:47:42.584 [http-nio-8080-exec-68] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-08 03:47:42.776 [http-nio-8080-exec-68] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-08 03:47:42.777 [http-nio-8080-exec-68] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-08 03:47:42.898 [http-nio-8080-exec-68] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-08 03:47:43.396 [http-nio-8080-exec-68] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-08 03:47:43.429 [http-nio-8080-exec-68] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-08 03:47:43.430 [http-nio-8080-exec-68] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-08 03:47:43.462 [http-nio-8080-exec-68] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-08 03:47:43.527 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@198cbc07
[DEBUG] 2020-05-08 03:47:43.527 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@198cbc07
[DEBUG] 2020-05-08 03:47:43.527 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@198cbc07
[DEBUG] 2020-05-08 03:47:43.529 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@b41c3d9
[DEBUG] 2020-05-08 03:47:43.530 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@78f34b3e
[DEBUG] 2020-05-08 03:47:43.531 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@39f020ea
[DEBUG] 2020-05-08 03:47:43.532 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@408dda7c
[DEBUG] 2020-05-08 03:47:43.532 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@408dda7c
[DEBUG] 2020-05-08 03:47:43.532 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@408dda7c
[DEBUG] 2020-05-08 03:47:43.534 [http-nio-8080-exec-68] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7665da7
